no.,title,date,time,planner,category,tag,comment,keyword
#90,すぎる主催！ナポリの男たちの「すべる話」,2018/11/24,90分～,すぎる,,寝カマ／巻き込みすべり／あればどうぞ／ハッチンポテト／ビデェ！／サイフ／寝言／放送事故／寝謝罪,トークテーマ　・ナポ男の一週間寝言チャレンジ・実況者が選ぶ実況名シーン,今週の塩／リティナ／Revin／すあだ／ロウ／しんすけ
#91,運命を変えろ！ マリオテニス勝負！,2018/12/1,90分～,ナポリ,ゲーム配信,ティニスの王子様／マリオテニスエース／運命を騙す作戦／キノコ先輩／ネット際の魔術師／口からドーン！！／主人公力／普通のおっさん／JJ,トークテーマ　・今一番楽しみにしてること・ナポ男と外国人,
#92,いきなりゲスト！ロウの山梨いいとこ100選！,2018/12/7,90分～,ロウ,ゲーム配信／歌回,ロウ(ゲーム動画実況者)／九州の毒蛇／泣いちゃったじゃ?ん／マリオテニスエース／うなぎおいしっ／神回／任天堂ゲーム配信／乳毛／ゲスト回,トークテーマ　・ロウのオススメ　・ロウの寝起きゆめにっき,ロウ／しんすけ／すぎラップ／ねじれ！
#93,ワクワク!! hacchiサンタの真剣プレゼント選び,2018/12/15,90分～,hacchi,紙芝居,せんずり／使用済みタオル／横にシュピ―――ン／もみあげが真四角／初手バリカン／DK／角刈りの美容師／フサフサ先生／サンタ回,トークテーマ　・先週放送の振り返り　・2018ナポ男流行語大賞　・ナポ男とJCJK流行語大賞,
#94,唐突!! すぎるの結婚式リハーサル,2018/12/22,90分～,すぎる,実写,猫桜みゃあ／恋するおしり／インターネット集団幻覚／雷門／two_people／マブのマブ／詰んだ家庭／ガチ回,トークテーマ　・hacchiへのお返し　・PUBG大会について　・ニコニコ以前の男たち,幕末志士／FB777
#95,年末ヒットソングメドレー,2018/12/29,90分～,蘭たん,歌回,shu3の寝言／年末ヒットソング回／FIGHT！デバッグ☆シュピキュア／CHANGE_MY_MIND／真相～janseung～／特殊ED回／専業デュフ／飛び起き子／告訴我一人,トークテーマ　・今週いろいろやりました！　・今年のふりかえり　・来年の振り返り,MSSP／幕末志士
#96,shu3方向音痴検証＆蘭たん仮歌披露会,2019/1/5,100分～,shu3,歌回,高槻ワンサイドラバー／逆アイス／剃毛／パウダースノー／仮歌披露会／チュッパ／徘徊老人／隠しスタバ,トークテーマ　・ナポ男の年末年始　・ナポ男の初夢　・hacchiのツッコミ予想クイズ,方向音痴
#97,ホンモノを見抜け！実況者格付けチェック,2019/1/12,90分～,,ゲーム配信,松崎しげるMODの人／任天堂ゲーム配信／ケイティハウス／すぎる検定／神回／you3／「大丈夫です！！」／ガム食う？／野良犬の遠吠え,トークテーマ　・今年一番〇〇だったこと　・もしナポ男がテラスハウスに入ったら,
#98,新春オリジナルイラスト発表回,2019/1/19,80分～,,オリキャラ,豚畜生先生／豚畜生杯／文字ぎゅうぎゅう罪／腹膨らませ／ヘルメッポ,トークテーマ　・100回記念人気キャラ投票企画！　・人気キャラ3位を当てよう！,
#99,100回直前SP！ナポリの男たちアメリカ進出大作戦！,2019/1/26,100分～,,ボドゲ回,賭博黙示録すぎる／シアトル／ちゃんとやれや／定時退社／すぎるという生き物／神回／ディフェンもシブ／アニメ_エロ,トークテーマ　・ナポ男のアメリカ進出大作戦,
#100,祝！100回記念！ナポ男人気キャラ投票結果発表！！,2019/2/2,120分～,ナポリ,,アイスクリーム学会／順番ですよね／苦労を語る長老／神回／天の声／ガチ勢／天然記念物／ナポ男人気キャラ投票,トークテーマ　・ベスト３予想　・チャンネル放送大振り返り,
#101,shu3の太鼓持ち企画,2019/2/9,80分?,shu3,実写／料理回,高槻ワンサイドラバー　SUGIRU_AGAIN マカロンだろうが　パスはる先生　神回　せしめんとす　ゴリラのゴーちゃん,トークテーマ ・ナポ男の挑戦！はじめてのお菓子作り,高槻ワンサイドラバー（太鼓持ちVer.）
#102,誰でも「すぎる」になれる奇跡のイケボ術！,2019/2/16,90分?,すぎる,,ナポ男給湯室　ピョリピョリ　コーヒー刑事　ライブ感　タイムライン　左京　神回　きたわる　蘭ルモ,トークテーマ ・復活ナポ男給湯室 ・どう森の出来事表を見てみよう ・ナポ男がもし相棒の相棒になったら,相棒／ボイトレ／だっふんだ面接
#103,ナポリの『1年前クイズ』答え合わせ！,2019/2/23,100分?,ナポリ,,リアルペンチマン　違う世界線のナポリ　丸太はマイクラではない　出産の現場(ステージ) ｺﾗ?！　煮汁,トークテーマ ・ナポ男の一枚（写真） ・パブロフの犬,レトルト／イボーン／ケイ／米津玄師／ロウ
#104,ナポリの男たちの平均当てまショー,2019/3/9,90分?,,ゲーム配信,19GB みんなで空気読み。　嫁(アレクサ) 深読み。　国会図書館　後天性ハリー　たっちゃん ,トークテーマ ・みんなでくうきよみ ・展示会開催決定！,hacchi個人実況
#105,ナポ男春の五七五,2019/3/16,100分?,,ボドゲ回,抜け忍　バーバリアン　性豪　すぎるという居場所　糞機能　GUNになってる　豚畜生先生　妖怪です　ぃ゛ギィリスぉう室゛,トークテーマ ・20代でやるべき１２のコト,ブロッコリー／角刈り警察
#106,蘭たんの熱血ディズニー塾！,2019/3/23,130分?,蘭たん,オリキャラ,倉島一幸　ゴミカスうんこ人間　ピュアピュア天使　ディズニー　ナポリテン　しきす　夢の国チキンレース　アレッキー　何がだい？,トークテーマ ・今週色々ありましたが・・・ ・展示会情報！,SSラジオ／幕末志士／パスラーマウス／ハッチャンダック／くまのしゅーさん
#107,スナックしゆみの人生相談,2019/3/30,100分?,shu3,ボイチェン,しゆみ　神回　スカルノ食い　週3　ぷるんっ　civ1500時間　盛り！　スコッティ　裏もも筋肉痛,トークテーマ・ガチで新元号当てまSHOW・好きな子の鼻毛が出てたら・ナポ男のガチ泣きエピソード・斜に構える⇔者に構えない・ナポ男の好きなお菓子ベスト１,しんすけ／今週の塩／深淵
